"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
695,"2013-06-01 00:00:01","2013-06-01 00:11:36",444,"Broadway & W 24 St",40.7423543,-73.98915076,434,"9 Ave & W 18 St",40.74317449,-74.00366443,19678,"Subscriber",1983,1
693,"2013-06-01 00:00:08","2013-06-01 00:11:41",444,"Broadway & W 24 St",40.7423543,-73.98915076,434,"9 Ave & W 18 St",40.74317449,-74.00366443,16649,"Subscriber",1984,1
2059,"2013-06-01 00:00:44","2013-06-01 00:35:03",406,"Hicks St & Montague St",40.69512845,-73.99595065,406,"Hicks St & Montague St",40.69512845,-73.99595065,19599,"Customer",NULL,0
123,"2013-06-01 00:01:04","2013-06-01 00:03:07",475,"E 15 St & Irving Pl",40.73524276,-73.98758561,262,"Washington Park",40.6917823,-73.9737299,16352,"Subscriber",1960,1
1521,"2013-06-01 00:01:22","2013-06-01 00:26:43",2008,"Little West St & 1 Pl",40.70569254,-74.01677685,310,"State St & Smith St",40.68926942,-73.98912867,15567,"Subscriber",1983,1
2028,"2013-06-01 00:01:47","2013-06-01 00:35:35",485,"W 37 St & 5 Ave",40.75038009,-73.98338988,406,"Hicks St & Montague St",40.69512845,-73.99595065,18445,"Customer",NULL,0
2057,"2013-06-01 00:02:33","2013-06-01 00:36:50",285,"Broadway & E 14 St",40.73454567,-73.99074142,532,"S 5 Pl & S 5 St",40.710451,-73.960876,15693,"Subscriber",1991,1
369,"2013-06-01 00:03:29","2013-06-01 00:09:38",509,"9 Ave & W 22 St",40.7454973,-74.00197139,521,"8 Ave & W 31 St N",40.75096734871598,-73.99444207549095,16100,"Subscriber",1981,1
1829,"2013-06-01 00:03:47","2013-06-01 00:34:16",265,"Stanton St & Chrystie St",40.72229346,-73.99147535,436,"Hancock St & Bedford Ave",40.68216564,-73.95399026,15234,"Subscriber",1984,1
829,"2013-06-01 00:04:22","2013-06-01 00:18:11",404,"9 Ave & W 14 St",40.7405826,-74.00550867,303,"Mercer St & Spring St",40.72362738,-73.99949601,16400,"Subscriber",1987,1
1316,"2013-06-01 00:04:28","2013-06-01 00:26:24",423,"W 54 St & 9 Ave",40.76584941,-73.98690506,314,"Cadman Plaza West & Montague St",40.69383,-73.990539,19781,"Subscriber",1960,1
1456,"2013-06-01 00:04:41","2013-06-01 00:28:57",502,"Henry St & Grand St",40.714215,-73.981346,532,"S 5 Pl & S 5 St",40.710451,-73.960876,18886,"Customer",NULL,0
